	Stk_601899	Stk_601857	Stk_601766	Stk_601699	Stk_601628	Stk_601601	Stk_601398	Stk_601328	Stk_601169	Stk_601166	Stk_601088	Stk_601006	Stk_600887	Stk_600837	Stk_600585	Stk_600549	Stk_600519	Stk_600518	Stk_600489	Stk_600383	Stk_600362	Stk_600256	Stk_600111	Stk_600050	Stk_600048	Stk_600036	Stk_600031	Stk_600030	Stk_600028	Stk_600018	Stk_600016	Stk_600015	Stk_600000
2009/3/16	8.259556	10.882768	4.3	31.354197	21.80449	15.066385	3.794521	5.918573	11.060162	21.554162	18.974473	8.567188	117.429336	228.516514	41.642581	94.425769	534.090038	110.688761	63.904092	45.095153	23.056435	77.392168	75.462246	7.342416	84.742498	35.523688	190.975906	62.774021	12.115288	4.039166	51.157546	16.628069	55.153295
2009/3/17	8.593173	11.127784	4.46	32.874289	22.355211	15.442283	3.876788	6.198436	11.524366	21.849564	19.777626	8.83784	120.495376	236.833079	42.439739	100.701802	547.911567	113.879952	65.312148	49.599491	25.362079	80.462789	77.435938	7.513501	91.817927	36.649094	200.020302	64.957465	12.53203	4.151934	52.783315	17.100159	57.011091
2009/3/18	8.714488	11.137993	4.43	34.00978	22.100247	15.239095	3.856221	6.094783	11.433544	21.686584	19.827823	8.817021	122.437202	236.077028	42.082802	100.987076	542.028078	116.068198	66.273417	50.376101	26.745465	84.786724	78.653749	7.47073	91.045323	36.35551	200.368164	65.27349	12.53203	4.162186	52.349777	16.977766	56.285389
2009/3/19	9.128983	11.270709	4.47	37.416252	22.273623	15.533718	3.876788	6.146609	11.564732	21.910682	20.671132	9.118902	129.18249	243.826554	42.237475	100.416527	554.635554	115.156429	70.619437	51.773999	27.532096	84.912055	78.569762	7.556273	91.85859	36.844817	202.368367	67.14091	12.755285	4.510743	52.8917	17.257523	57.185259
2009/3/20	10.038848	11.811785	4.39	40.016893	21.7331	15.147661	3.887071	6.084418	11.413361	21.370809	20.821724	9.014805	127.64947	240.613336	41.690172	105.480145	550.433062	114.518191	77.686796	50.169005	30.285306	90.927965	82.811101	7.656072	87.792252	36.282114	203.324986	66.48013	13.052957	4.387723	52.458161	16.977766	56.053165
2009/3/23	11.0397	11.903666	4.5	42.251245	22.620373	15.808021	3.928204	6.16734	11.675737	22.063476	21.163063	9.233409	130.000101	253.088183	44.022157	104.196411	554.215305	113.241714	85.458184	55.191083	30.949874	91.42929	80.963389	7.698844	92.468541	37.334124	214.717446	68.692304	13.097608	4.520995	53.1897575	17.677159	58.665689
2009/3/24	10.50389	12.015965	4.47	41.646871	22.844741	15.889297	3.938487	6.146609	11.69592	22.277388	21.012472	9.410374	128.467081	251.387067	44.28391	103.411907	554.215305	115.521137	80.394597	55.501727	30.542995	89.89398	78.527768	7.784387	93.444462	37.211797	211.934555	69.324354	13.201794	4.736281	53.433623	17.432371	59.449447
2009/3/25	10.76674	11.811785	4.35	41.610243	22.56938	15.929934	3.876788	6.094783	11.806925	22.369064	20.299675	8.973166	123.970222	243.070502	42.130394	101.414987	532.409041	112.056414	79.216704	55.346405	30.244618	88.35867	81.34133	7.542016	89.825421	36.673559	203.23802	66.882344	13.127376	4.603009	53.000084	17.117644	60.262232
2009/3/26	11.454194	11.913875	4.42	43.899538	23.171095	16.224557	4.103019	6.478298	12.180307	23.061731	20.771526	9.275048	124.685631	253.277195	42.760981	104.125092	525.311499	112.877007	82.005738	57.003173	33.174141	92.494608	84.532833	7.798644	91.37063	39.217956	206.107877	69.065788	13.4697	5.064335	55.059392	18.166734	63.019897
2009/3/27	11.322769	11.975129	4.52	43.679766	22.916131	15.950253	4.061886	6.592316	12.079393	23.387692	20.771526	9.389555	123.152611	249.685952	42.856164	101.201032	532.222263	112.329945	80.245668	56.278337	32.414635	93.873254	83.063062	7.983986	90.598025	38.973302	206.107877	69.496731	13.529234	5.566667	54.951008	18.166734	64.355187
