time,close
9/22/2011,11.09
9/23/2011,11.4
9/26/2011,11.2
9/27/2011,11.37
9/28/2011,11.07
9/29/2011,10.66
9/30/2011,10.3
10/10/2011,10.3
10/11/2011,10.42
10/12/2011,10.86
10/13/2011,11.05
10/14/2011,10.9
10/17/2011,11.16
10/18/2011,10.92
10/19/2011,10.92
10/20/2011,10.4
10/21/2011,10.06
10/24/2011,10.23
10/25/2011,10.77
10/26/2011,11.15
10/27/2011,10.92
10/28/2011,11.14
10/31/2011,11.25
11/1/2011,11.57
11/2/2011,11.91
11/3/2011,11.75
11/4/2011,11.86
11/7/2011,11.64
11/8/2011,11.5
11/9/2011,11.94
11/10/2011,11.87
11/11/2011,11.59
11/14/2011,11.9
11/15/2011,12.49
11/16/2011,12.28
11/17/2011,12.3
11/18/2011,11.64
11/21/2011,11.53
11/22/2011,11.58
11/23/2011,11.47
11/24/2011,11.33
11/25/2011,11.27
11/28/2011,11.05
11/29/2011,11.25
11/30/2011,10.49
12/1/2011,10.69
12/2/2011,10.35
12/5/2011,9.78
12/6/2011,9.87
12/7/2011,9.99
12/8/2011,9.99
12/9/2011,10.21
12/12/2011,9.99
12/13/2011,9.51
12/14/2011,9.03
12/15/2011,8.68
12/16/2011,8.91
12/19/2011,8.86
12/20/2011,8.79
12/21/2011,8.52
12/22/2011,8.12
12/23/2011,8.18
12/26/2011,8.29
12/27/2011,7.88
12/28/2011,7.88
12/29/2011,7.95
12/30/2011,8.4
1/4/2012,7.89
1/5/2012,7.49
1/6/2012,7.58
1/9/2012,7.86
1/10/2012,8.39
1/11/2012,8.43
1/12/2012,8.43
1/13/2012,8.43
1/16/2012,8.43
1/17/2012,8.43
1/18/2012,8.43
1/19/2012,8.43
1/20/2012,8.43
1/30/2012,8.43
1/31/2012,8.43
2/1/2012,8.43
2/2/2012,8.43
2/3/2012,8.43
2/6/2012,8.43
2/7/2012,8.43
2/8/2012,8.43
2/9/2012,8.43
2/10/2012,8.43
2/13/2012,8.43
2/14/2012,8.43
2/15/2012,8.43
2/16/2012,8.43
2/17/2012,8.43
2/20/2012,8.43
2/21/2012,8.43
2/22/2012,8.43
2/23/2012,8.43
2/24/2012,8.43
2/27/2012,8.43
2/28/2012,8.43
2/29/2012,8.43
3/1/2012,8.43
3/2/2012,8.43
3/5/2012,8.43
3/6/2012,8.43
3/7/2012,8.43
3/8/2012,8.43
3/9/2012,8.43
3/12/2012,8.43
3/13/2012,8.43
3/14/2012,8.43
3/15/2012,8.43
3/16/2012,8.43
3/19/2012,8.43
3/20/2012,8.43
3/21/2012,8.43
3/22/2012,8.43
3/23/2012,8.43
3/26/2012,8.43
3/27/2012,8.43
3/28/2012,8.43
3/29/2012,8.43
3/30/2012,8.43
4/5/2012,8.43
4/6/2012,8.43
4/9/2012,8.43
4/10/2012,8.43
4/11/2012,8.43
4/12/2012,9.27
4/13/2012,10.2
4/16/2012,11.22
4/17/2012,11.71
4/18/2012,12.88
4/19/2012,12.2
4/20/2012,12.2
4/23/2012,12.09
4/24/2012,11.66
