STATE,REGION,POPULATI,URBAN,MOBILITY,LT18,GT65,DENSITY,PCTWHITE,PCTBLACK,PCTNAM,PCTASIAN,PCTHISP,IMMIG,MARRIAGE,DIVORCES,FEMHEAD,BRATE,LOWBWT,PRISONER,HOMELESS,DRATE,SUICIDES,TEENMOM,INFMORT,BEER,AIDS,ABORTION,DOCTORS,POVERTY,MDFAMINC,UNEMPLY,DROPOUT,HSGRAD,COLLGRAD,HOMICIDE,RAPE,ROBBERY,ASSAULT,BURGLARY,LARCENY,CARTHEFT,BUSH00,GORE00,NADER00,TURNOUT
NORTH CAROLINA,South,8.049987793,50.09997559,63.59997559,24.40014648,12.03887939,165.199707,72.09985352,21.59997559,1.199996948,1.399997711,4.699996948,11.5,8.799987793,4.799987793,12.59249878,15.5,8.799987793,0.579999924,0.039999962,9.007995605,11.3999939,13,9.099975586,30.19995117,11.29998779,20.2131958,230.6938477,13.19998169,45087,3.599998474,21.09997559,79.19995117,23.19995117,7,27.09997559,156.5,307,1216.097656,2891.796875,313.8994141,56,43.19995117,0,56.09997559
NORTH DAKOTA  ,Midwest,0.63999939,52,72.59985352,25.04650879,14.71160889,9.299987793,92.39990234,0.599998474,4.899993896,0.599998474,1.199996948,6.5,6.699996948,3.199996948,8.396240234,12.19998169,6.399993896,0.239999771,0.029999971,9.287994385,11.29998779,9.199981689,6.799987793,36.59997559,NA,9.358581543,220.3085938,12.79998779,42984,3,13.29998779,85.5,22.59997559,0.599998474,26.29998779,8.699981689,45.79992676,325.8994141,1727.199219,153.5,60.69995117,33.09997559,3.299995422,70.39990234
OHIO          ,Midwest,11.34997559,70.59985352,74.29980469,25.44085693,13.28051758,277.1992188,85,11.5,0.199999809,1.199996948,1.899997711,8.199981689,7.899993896,4.099990845,12.06542969,13.79998779,7.899993896,0.609998703,0.049999952,9.462982178,9.899993896,12.09997559,8.199981689,32.69995117,5.899993896,17.0380249,238.7773438,11.09997559,48984,4.099990845,14.8999939,87,24.59997559,3.699996948,37.59997559,137.5,155.2998047,780.6992188,2583.195313,343.6992188,50,46.39990234,2.5,59.19995117
OKLAHOMA      ,South,3.449996948,79.69995117,62.19995117,25.8605957,13.21340942,50.19995117,76.19995117,7.599990845,7.899993896,1.399997711,5.199996948,13.29998779,6.899993896,5.899993896,11.40814209,14.69998169,7.5,0.979999542,0.039999962,10.1539917,14.09997559,15.8999939,8.5,28.59997559,5.5,11.81237793,163.7006836,14.09997559,40354,3,17.89996338,86.09985352,22.5,5.299987793,41.19995117,75.79980469,375.5,917.5,2785.398438,357.7998047,60.29992676,38.39990234,0,59.59997559
OREGON        ,West,3.419998169,67.59985352,45.79992676,24.74206543,12.8069458,35.59997559,86.59985352,1.599998474,1.299999237,3,8,25,7.799987793,4.799987793,10.71051025,13.69998169,5.599990845,0.569999695,0.089999914,8.955993652,16.59997559,11.29998779,5.799987793,30.89996338,6.399993896,21.62078857,227.3354492,12.8999939,46278,4.899993896,12.79998779,88.09985352,27.19995117,2,37.59997559,84.39990234,226.699707,748.7988281,3338.695313,407.1992188,46.5,47,5,66.59985352
PENNSYLVANIA  ,Northeast,12.27999878,60.89990234,78.5,23.79449463,15.62701416,274,85.39990234,10,0.099999905,1.799999237,3.199996948,14.79998779,6.299987793,3.199996948,11.9609375,12.19998169,7.699996948,0.619998932,0.039999962,10.5619812,11.3999939,9.899993896,7.299987793,30.59997559,8.799987793,15.17770386,290.0927734,9.799987793,48359,4.199996948,16.79998779,85.69995117,24.29998779,4.899993896,26.39996338,147.7998047,240.8999023,440.3994141,1839.199219,295.7998047,46.39990234,50.59997559,2.099998474,57.39990234
RHODE ISLAND  ,Northeast,1.049999237,93.29980469,62.5,23.63989258,14.53775024,1003.199219,85,4.5,0.5,2.299995422,8.699981689,24.09997559,7.799987793,2.899993896,13.34503174,12.59997559,7.199996948,0.339999199,0.059999943,9.729980469,8.699981689,10.19998169,5.699996948,31.69995117,6.799987793,24.37988281,328.3066406,10.19998169,53121,4.099990845,19.89996338,81.29980469,26.39996338,4.299987793,39.29992676,88,166.199707,631.5,2102.195313,445,31.89996338,61,6.099990845,63.5
SOUTH CAROLINA,South,4.009994507,53.69995117,59.19995117,25.16540527,12.09698486,133.199707,67.19995117,29.5,0.299999237,0.899999619,2.399993896,5.699996948,10.5,3.699996948,14.85308838,14.29998779,9.699981689,0.869998932,0.039999962,9.078979492,11.69998169,15.29998779,10.19998169,36.09997559,14.3999939,11.57519531,213.2749023,12,43678,3.899993896,19.29998779,83,19,5.799987793,37.69995117,146.5996094,614.7988281,969.2988281,3068.09375,379,56.89990234,40.89990234,1.5,59.5
SOUTH DAKOTA  ,Midwest,0.75,44.19995117,66.59985352,26.84643555,14.32492065,9.899993896,88.69995117,0.599998474,8.299987793,0.599998474,1.399997711,6.199996948,9.299987793,3.799995422,8.612670898,14,6.199996948,0.589998245,0.049999952,9.308990479,15.59997559,11.59997559,8.899993896,35.59997559,NA,6.54649353,190.5996094,9.399993896,44736,2.299995422,12,91.79980469,25.69995117,0.899999619,40.39990234,17.39996338,108.0998535,383.6992188,1663.699219,105.6999512,60.29992676,37.59997559,0,59.19995117
TENNESSEE     ,South,5.689987183,52.89990234,63,24.58166504,12.36203003,138,80.19995117,16.39996338,0.299999237,1,2.199996948,8.599975586,15.19998169,6,13.28659058,14.3999939,9.199981689,0.679998398,0.039999962,9.9659729,13.69998169,14.69998169,7.699996948,30,7.299987793,14.84960938,241.9838867,13.3999939,44168,3.899993896,21.39996338,79.89990234,22,7.199996948,38.39990234,166.3999023,495.1992188,990.3984375,2708.796875,483.8994141,51.19995117,47.29992676,1,53.69995117
TEXAS         ,South,20.84997559,67.79980469,61.29992676,28.23138428,9.939331055,79.59985352,71,11.5,0.599998474,2.699996948,32,30.59997559,9.299987793,3.699996948,13.68322754,17.79998779,7.399993896,1.169998169,0.039999962,7.210998535,10.79998779,15.29998779,6.199996948,40.59997559,10.79998779,20.71582031,200.6396484,14.8999939,45285,4.199996948,22.69995117,79.19995117,23.89996338,5.899993896,37.69995117,145.0996094,356.2998047,906.2988281,3057.398438,446.7998047,59.29992676,38,2.199996948,54.09997559
UTAH          ,West,2.229995728,78.39990234,63.5,32.18286133,8.518005371,27.19995117,89.19995117,0.799999237,1.299999237,1.699996948,9,16.59997559,9.899993896,4.399993896,10.08926392,21.89996338,6.599990845,0.43999958,0.069999933,5.642990112,16,8.899993896,4.799987793,21.59997559,3.199996948,7.828063965,198.6567383,8.099975586,51399,3.199996948,8.299987793,90.69995117,26.39996338,1.899997711,38.59997559,55.59997559,159.5,642.5,3288.5,289.2998047,66.79980469,26.29998779,4.699996948,60.19995117
VERMONT       ,Northeast,0.609998703,37.59997559,55.29992676,24.23065186,12.73101807,65.79980469,96.79980469,0.5,0.399999619,0.899999619,0.899999619,13.29998779,10.09997559,4.399993896,9.460540771,10.8999939,6.099990845,0.199999809,0.039999962,8.378997803,14.59997559,8,5.799987793,31.39996338,NA,17.0758667,327.3691406,10.29998779,47809,2.899993896,12.19998169,90,28.79998779,1.5,23,19.19995117,69.79980469,575,2165.5,132.8999023,40.69995117,50.59997559,6.899993896,64.19995117
VIRGINIA      ,South,7.079986572,68.29980469,50.89990234,24.55682373,11.19348145,178.7998047,72.29980469,19.59997559,0.299999237,3.699996948,4.699996948,28.39996338,9.399993896,4.599990845,12.22598267,14.19998169,7.899993896,0.899999619,0.039999962,8.031982422,12.19998169,9.899993896,7.299987793,28.69995117,8.799987793,18.94519043,245.1425781,8.099975586,54601,2.199996948,16.69995117,86.59985352,31.89996338,5.699996948,22.79998779,88.89990234,164.2998047,429.8994141,2064.796875,251.5996094,52.5,44.39990234,2.199996948,60.29992676
WASHINGTON    ,West,5.88999939,74.19995117,47.5,25.68389893,11.23403931,88.5,81.79980469,3.199996948,1.599998474,5.5,7.5,31.39996338,7.399993896,5,10.25296021,13.8999939,5.599990845,0.489999771,0.089999914,7.510986328,12.3999939,10.19998169,5,28.69995117,7.199996948,20.94232178,239.6259766,9.5,54708,5.199996948,10.09997559,91.79980469,28.59997559,3.299995422,46.39990234,98.59985352,221.2998047,907.2988281,3234.59375,594.0996094,44.59997559,50.19995117,4.099990845,62
WEST VIRGINIA ,South,1.809997559,29.59997559,73.69995117,22.25201416,15.31207275,75.09985352,95,3.199996948,0.199999809,0.5,0.699998856,3.199996948,7.5,5,11.22439575,11.59997559,8.299987793,0.579999924,0.029999971,11.4619751,12.79998779,15.8999939,7.399993896,29,3.099998474,6.600082397,217.4199219,15.79998779,34465,5.5,23.29998779,77.09985352,15.29998779,2.5,18.29998779,41.39990234,254.199707,546.8984375,1556.097656,183.2998047,51.89990234,45.59997559,1.699996948,52.39990234
WISCONSIN     ,Midwest,5.359985352,76,71.59985352,25.51898193,13.09832764,98.79980469,88.89990234,5.699996948,0.899999619,1.699996948,3.599998474,9.399993896,6.799987793,3.399993896,9.061828613,13.09997559,6.5,0.579999924,0.029999971,8.807983398,11.3999939,10.19998169,6.699996948,40.79992676,3.099998474,12.29257202,231.9511719,9,52614,3.5,12.5,86.69995117,23.79998779,3.199996948,21.69995117,84.59985352,127.2998047,469.5,2229.898438,272.8994141,47.59997559,47.79992676,3.599998474,70.09985352
WYOMING       ,West,0.489999771,56.59997559,41.39990234,26.09912109,11.68389893,5.099990845,92.09985352,0.799999237,2.299995422,0.599998474,6.399993896,5,10.09997559,5.899993896,8.227142334,13,8.299987793,0.849998474,0.049999952,8.017974854,18.09997559,13.5,6.899993896,36.39990234,NA,2.662910461,171.4570313,11.09997559,46259,3.899993896,11.19998169,90,20.59997559,2.399993896,32.39990234,14.19998169,217.5,420.7998047,2494.59375,116,67.79980469,27.69995117,2.099998474,62.89990234
